id,country,title,source,publishedat
c4fe1121278aa42a0664a79cc0a838bc,nepal,"Son Suk-ku, Ha Jung-woo Set Yoon Jong-bin Netflix Film 'The Generals'",Variety,2026-04-27T05:26:00Z
5e8895519f574c04ecf3be39ae4ffe7c,nepal,BATUK Soldiers Join Charity Run to Support Girls’ Menstrual Hygiene in Laikipia,Capitalfm.co.ke,2026-04-27T05:25:05Z
fb21d439831cca62bd3d5d07bc9cb8c6,nepal,South Africa: President Ramaphosa Joins Eswatini in Commemorating Coronation of King Mswati III,allAfrica.com,2026-04-27T05:23:52Z
08eb87aa4c59ef9a0dd00cefb8f88de8,nepal,corridors become classrooms as color and movement reshape an indian school,designboom.com,2026-04-27T05:23:15Z
25e9a8faddef4511697eb7c2eeb9bb9b,nepal,Oilers fall to Ducks in Game 4 with 4-3 OT loss,CBC,2026-04-27T05:23:00Z
caf31dc2a6b48616636821fa66de92f5,india,"Rain, storms to bring Delhi respite from heatwave soon. Here's what IMD said",Hindustan Times,2026-04-27T05:01:17Z
6cecb7d6a824f26f7e9506dd44defa23,india,Arvind Kejriwal Boycotts Hearing In Liquor Policy Case Before Justice Swarana Kanta Sharma,Live Law,2026-04-27T04:58:18Z
51896441861d13bf70b7d83951784ce2,india,FACT CHECK: Is heart attack likely to be caused in the bathroom?,theweek.in,2026-04-27T04:37:17Z
97d4ec805c5ec059b9e5d6f258502a89,india,LeT commander Sheikh Yusuf Afridi shot dead in Pakistan’s Khyber Pakhtunkhwa,Moneycontrol.com,2026-04-27T04:37:06Z
19299467e7f1190647640c4cb4542bd6,india,"Aamir Khan gets teary-eyed at son Junaid Khan's Ek Din event, calls Sai Pallavi ‘best actress in our country’",Hindustan Times,2026-04-27T04:23:43Z
9061d55a2ed19438735bd91c510210da,usa,"Jonah Hill ""Wasn’t Happy for A While” But He’s Ready to Be Funny Again",The Hollywood Reporter,2026-04-27T04:47:47Z
3dd64a6ff139d619a2ddadc9bab03ff9,usa,"U.S. Military Strikes Another Boat in Eastern Pacific, Killing 3",The New York Times,2026-04-27T04:41:50Z
d2b9016c595284993f6a646fe1c12fb3,usa,Suspect in White House Correspondents’ dinner shooting identified as Cole Tomas Allen,NBC News,2026-04-27T04:41:00Z
0aaf4a257b99d79d97f0e2cf672843a9,usa,"NBA playoffs winners and losers: LeBron James struggles as Rockets stay alive, Payton Pritchard heats up",CBS Sports,2026-04-27T04:29:00Z
628108e9facefc8d6dbb0a6f9be249fd,usa,Pedro Pascal Fights Tears at Mexico Event,The Hollywood Reporter,2026-04-27T04:17:05Z
ec7bf5d2cafb55f39cd78aff00fcfe0a,uk,Cambridgeshire farmer left with 540 bags of potatoes,BBC,2026-04-27T05:16:32Z
97faadd363a5ffcdd4f6c2474da6cb6b,uk,Struggling pubs in Oxfordshire fear 'carnage' for the industry,BBC,2026-04-27T05:13:05Z
7219d3a9a9d639e778497b82c2653143,uk,LIVE updates as crash closes A1(M) Durham to Chester-le-Street,The Northern Echo,2026-04-27T05:12:21Z
037ff90db19fa364eca6ef632c006403,uk,HMS Victory masts to be removed in conservation project,BBC,2026-04-27T05:09:16Z
4529058bc91b994f3b59e2085d579c94,uk,11 players could miss Man United vs Brentford after Michael Carrick boost,Manchester Evening News,2026-04-27T05:06:00Z
cf7c15e73b0444567bfbc15c29d59ee1,australia,"Bad reviews, off the wall numbers for Michael Jackson biopic",The Age,2026-04-27T05:21:44Z
139e5aa06a716e36c032a8ce652b94c8,australia,Memories: Blank Slate or Pre-formed?,Mirage News,2026-04-27T05:12:00Z
10eb86282d1b38f2573fce954db88da8,australia,"Too big to fail? Snowy 2.0 critics predict fresh cost blowouts, while others say it's far too late to turn back",Renew Economy,2026-04-27T05:06:15Z
5d50cd4997d483c1ad1d4cc5bf400830,australia,Two young girls die in hospital more than a week after Perth Hills crash,WAtoday,2026-04-27T04:32:37Z
c6581880e6f1e9618b92ef2b8dbadb19,australia,Looksmaxxer Androgenic banned from Brisbane nightlife areas,Brisbane Times,2026-04-27T04:15:05Z
